,자동차검사소유형,위치,검사기술인력수,위도,경도,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부
254,민간,강원특별자치도,9,37.6820272681,127.8543725386,N,Y,N,N,N,N,Y
255,민간,강원특별자치도,1,37.6241399294,127.7727783056,N,Y,N,N,N,N,N
256,민간,인천광역시,0,37.58911578,126.65029720000001,N,Y,N,Y,N,Y,Y
257,민간,인천광역시,0,37.47935346,126.6896033,N,Y,N,Y,N,Y,Y
258,민간,인천광역시,0,37.50066056,126.66384690000001,N,Y,N,Y,N,Y,Y
259,민간,인천광역시,0,37.59263635,126.6150524,N,Y,N,Y,N,Y,Y
260,민간,인천광역시,0,37.58952745,126.65817450000002,N,Y,N,Y,N,Y,Y
261,민간,인천광역시,0,37.520151500000004,126.66121470000002,N,Y,N,Y,N,Y,Y
262,민간,인천광역시,0,37.50960191,126.64236840000001,N,Y,N,Y,N,Y,Y
263,민간,인천광역시,0,37.58833525,126.6504804,N,Y,N,Y,N,Y,Y
264,민간,인천광역시,0,37.55810688,126.61664479999999,N,Y,N,Y,N,Y,Y
265,민간,인천광역시,0,37.49181485,126.6692946,N,Y,N,Y,N,N,Y
266,민간,인천광역시,0,37.50016232,126.6271023,N,Y,N,Y,N,Y,Y
267,민간,경기도,0,36.986346999999995,127.114691,Y,Y,N,Y,N,Y,Y
268,민간,경기도,0,37.076879,127.085545,Y,Y,N,Y,N,Y,Y
269,민간,경기도,0,37.02386,126.94582199999999,Y,Y,N,Y,N,Y,Y
270,민간,경기도,0,37.053441,127.109548,Y,Y,N,Y,N,Y,Y
271,민간,경기도,0,37.007876,127.077744,Y,Y,N,Y,N,Y,Y
272,민간,경기도,0,36.995638,126.845845,Y,Y,N,Y,N,Y,N
273,민간,경기도,0,37.007979999999996,127.073306,Y,Y,N,Y,N,Y,Y
274,민간,경기도,0,37.02946,127.099149,Y,Y,N,Y,N,Y,Y
275,민간,경기도,0,36.988627,127.092032,Y,Y,N,Y,N,Y,Y
276,민간,강원특별자치도,1,37.394183,127.95026999999999,N,Y,N,N,N,N,Y
277,민간,강원특별자치도,3,37.383122,127.958731,Y,Y,Y,N,N,N,N
278,민간,강원특별자치도,1,37.361734000000006,127.95371499999999,N,Y,N,N,N,N,Y
279,민간,강원특별자치도,1,37.387619,127.978117,N,Y,N,N,N,N,Y
280,민간,강원특별자치도,1,37.356873,127.900699,N,Y,N,N,N,N,N
281,민간,경기도,0,37.132367965,126.89823700000001,N,Y,N,N,N,Y,Y
282,민간,경기도,0,37.20506552,127.1251996,N,Y,N,N,N,Y,N
283,민간,경기도,0,37.14752465,126.89129579999998,N,Y,N,N,N,Y,N
284,민간,경기도,0,37.07655148,126.9145446,N,Y,N,N,N,Y,N
285,민간,경기도,0,37.142895,126.896367,N,Y,N,N,N,Y,Y
286,민간,경기도,0,37.15287357,127.1237279,N,Y,N,N,N,Y,Y
287,민간,경기도,0,37.13317036,126.8637023,N,Y,N,N,N,Y,Y
288,민간,경기도,0,37.12509433,126.9786314,N,Y,N,N,N,Y,Y
289,민간,경기도,0,37.21949941,127.10449229999999,N,Y,N,N,N,Y,Y
290,민간,경기도,0,37.17110824,126.95021820000001,N,Y,N,N,N,Y,Y
291,민간,경기도,0,37.16179022,127.07993370000001,N,Y,N,N,N,Y,Y
292,민간,경기도,0,37.21759527,127.0288787,N,Y,N,N,N,Y,Y
293,민간,경기도,0,37.1459247,126.89899809999999,N,Y,N,N,N,Y,Y
294,민간,경기도,0,37.064799,126.93249399999999,N,Y,N,N,N,Y,Y
295,민간,경기도,0,37.228691,127.06801599999999,N,Y,N,N,N,Y,N
296,민간,경기도,0,37.22940526,127.04723770000001,N,Y,N,N,N,Y,Y
297,민간,경기도,0,37.1560525921,126.9265305523,N,Y,N,N,N,Y,Y
298,민간,경기도,0,37.215732,126.983768,N,Y,N,N,N,Y,Y
299,민간,경기도,0,37.193665,126.84921499999999,N,Y,N,N,N,Y,Y
300,민간,전라북도,1,35.93889183,126.9730707,N,Y,N,N,N,N,Y
301,민간,전라북도,1,36.07582395,126.96597820000001,N,Y,N,N,N,N,Y
302,민간,전라북도,1,35.91926094,126.933902,N,Y,N,N,N,N,Y
303,민간,전라북도,1,35.93946321,126.9773993,N,Y,N,N,N,N,Y
304,민간,대전광역시,3,36.346940999999994,127.35290400000001,Y,Y,N,N,N,Y,Y
305,민간,강원특별자치도,3,38.10256981,127.9819108,Y,Y,Y,Y,Y,N,N
306,민간,강원특별자치도,2,38.09221044,127.9959482,Y,Y,Y,Y,Y,N,N
307,민간,경상북도,0,35.99293163,129.357079,Y,Y,Y,Y,Y,Y,Y
308,민간,경상북도,0,35.99507718,129.35521699999998,N,Y,N,N,N,Y,N
309,민간,경기도,4,37.40934497,127.1143041,N,Y,N,N,N,Y,Y
310,민간,경기도,4,37.39211294,127.13244569999999,N,Y,N,N,N,Y,Y
311,민간,경기도,4,37.36823447,127.100925,N,Y,N,N,N,Y,Y
312,민간,경상북도,1,36.12724088,128.0731941,N,Y,N,N,N,N,N
313,민간,경상북도,1,36.14082434,128.137104,N,Y,N,N,N,N,N
314,공공,대전광역시,0,36.32484117,127.3779096,Y,Y,Y,Y,Y,Y,Y
315,공공,경기도,0,37.217278,127.09539199999999,Y,Y,Y,Y,Y,Y,Y
316,공공,강원특별자치도,0,37.47503636,129.1195303,Y,Y,Y,Y,Y,N,Y
317,공공,전라남도,0,34.8119407,126.42278799999998,Y,Y,Y,Y,Y,Y,Y
318,공공,경상북도,0,36.5931775,128.2084966,Y,Y,Y,Y,Y,N,Y
